Ten phong ban,Ma nhan vien,Ho ten nhan vien,Ngay sinh,Gioi tinh,Luong co ban,Tuoi,Luong moi,Ghi chu,Chuc vu
Nhan su,NV00137,Phuong Pham,1978-11-17,Nu,5128558,46,5897842,Tăng lương 15%,Nhan vien
Kinh doanh,NV00138,An Dang,2001-02-28,Nu,12835729,24,12835729,Không tăng lương,Nhan vien
Nhan su,NV00139,Bac Thanh Vu,1980-01-25,Nam,18116893,45,20834427,Tăng lương 15%,Nhan vien
Nhan su,NV00140,Hung Bao Tran,1993-03-05,Nam,12396709,32,14256215,Tăng lương 15%,Nhan vien
Ke toan,NV00141,Bac Minh Mai,1984-06-21,Nam,23711341,41,27268042,Tăng lương 15%,Nhan vien
Kinh doanh,NV00142,Quy co Van Hoang,1992-05-18,Nam,7853726,33,9031785,Tăng lương 15%,Nhan vien
Ky thuat,NV00143,Ba Nhat Duong,1982-11-25,Nu,18358909,42,21112745,Tăng lương 15%,Nhan vien
Ky thuat,NV00144,Quy co Duyen Mai,1965-03-20,Nu,7578910,60,8715746,Tăng lương 15%,Nhan vien
Ke toan,NV00145,Quy co Thanh Mai,1983-10-09,Nu,10647733,41,12244893,Tăng lương 15%,Nhan vien
Marketing,NV00146,Anh Vu Nguyen,1995-09-25,Nam,18695039,29,18695039,Không tăng lương,Nhan vien
Marketing,NV00147,An Vu,1967-03-07,Nam,23578285,58,27115028,Tăng lương 15%,Nhan vien
Ky thuat,NV00148,Yen Bui,1976-08-04,Nu,14065646,48,16175493,Tăng lương 15%,Nhan vien
Ky thuat,NV00149,Ba Hai Le,1992-09-15,Nu,8120746,32,9338858,Tăng lương 15%,Nhan vien
Nhan su,NV00150,Quy co Ngoc Pham,2001-12-05,Nam,22909060,23,22909060,Không tăng lương,Nhan vien
Ke toan,NV00151,Co Khoa Tran,1966-04-18,Nu,7487952,59,8611145,Tăng lương 15%,Nhan vien
Ky thuat,NV00152,Duong Duong,1968-05-22,Nam,29869464,57,34349884,Tăng lương 15%,Nhan vien
Kinh doanh,NV00153,Ha Bao Vu,1999-12-22,Nu,16767329,25,16767329,Không tăng lương,Nhan vien
Marketing,NV00154,Linh Duong,1967-07-27,Nam,15120600,57,17388690,Tăng lương 15%,Nhan vien
Ke toan,NV00155,Nhat Bao Hoang,1979-12-10,Nam,24253401,45,27891411,Tăng lương 15%,Nhan vien
Marketing,NV00156,Quy co Nhat Hoang,1984-05-26,Nam,26255689,41,30194042,Tăng lương 15%,Nhan vien
Marketing,NV00157,Co Xuan Mai,1969-07-27,Nam,15168592,55,17443881,Tăng lương 15%,Nhan vien
Ky thuat,NV00158,Trong Van Nguyen,1982-03-04,Nam,8364886,43,9619619,Tăng lương 15%,Nhan vien
Ke toan,NV00159,Co Hong Bui,2002-05-13,Nam,12629406,23,12629406,Không tăng lương,Nhan vien
Ky thuat,NV00160,Anh Quang Hoang,1984-02-26,Nam,8409817,41,9671290,Tăng lương 15%,Nhan vien
Ky thuat,NV00161,Hanh Mai,1978-08-11,Nu,22461287,46,25830480,Tăng lương 15%,Nhan vien
Marketing,NV00162,Quy co Anh Hoang,1994-04-04,Nam,24027773,31,27631939,Tăng lương 15%,Nhan vien
Ky thuat,NV00163,Nhat Hoang Dang,1984-09-28,Nam,13106907,40,15072943,Tăng lương 15%,Nhan vien
Kinh doanh,NV00164,Bao Xuan Le,1973-05-05,Nu,29932984,52,34422932,Tăng lương 15%,Quan ly
Ky thuat,NV00165,Chi Lan Le,2000-12-25,Nam,13222226,24,13222226,Không tăng lương,Nhan vien
Nhan su,NV00166,Co Ngoc Tran,1997-01-09,Nu,18817566,28,18817566,Không tăng lương,Nhan vien
Marketing,NV00167,Quy co An Vu,1982-05-17,Nu,20669647,43,23770094,Tăng lương 15%,Nhan vien
Ky thuat,NV00168,Bac Anh Tran,1996-10-17,Nam,16604665,28,16604665,Không tăng lương,Nhan vien
Nhan su,NV00169,Ba Hai Le,1999-03-23,Nam,15822958,26,15822958,Không tăng lương,Nhan vien
Marketing,NV00170,Ba Duyen Bui,1995-03-22,Nu,29955672,30,29955672,Không tăng lương,Quan ly
Nhan su,NV00171,Co Nhat Vu,1991-03-14,Nam,23139468,34,26610388,Tăng lương 15%,Nhan vien
Marketing,NV00172,Chau Duong,1979-07-26,Nu,13023835,45,14977410,Tăng lương 15%,Nhan vien
Nhan su,NV00173,Thao Dang,1965-09-20,Nu,12828363,59,14752617,Tăng lương 15%,Nhan vien
Nhan su,NV00174,Linh Tran,1974-01-04,Nu,14039789,51,16145757,Tăng lương 15%,Nhan vien
Marketing,NV00175,An The Vu,1994-08-07,Nu,10523096,30,10523096,Không tăng lương,Nhan vien
Ke toan,NV00176,Phuc Mai Nguyen,1997-07-19,Nu,26562621,27,26562621,Không tăng lương,Nhan vien
Ky thuat,NV00177,Quy co Linh Mai,1989-06-30,Nu,27800203,35,31970233,Tăng lương 15%,Nhan vien
Nhan su,NV00178,Chi An Hoang,1969-12-14,Nu,24774804,55,28491025,Tăng lương 15%,Nhan vien
Ke toan,NV00179,Duong Bui,1990-08-20,Nu,5705758,34,6561622,Tăng lương 15%,Nhan vien
Nhan su,NV00180,Minh Le,1975-02-25,Nu,12801403,50,14721613,Tăng lương 15%,Nhan vien
Kinh doanh,NV00181,Bac Vu Hoang,1996-06-09,Nu,19611145,29,19611145,Không tăng lương,Nhan vien
Marketing,NV00182,Anh Duong,1970-03-22,Nu,26027387,55,29931495,Tăng lương 15%,Nhan vien
Kinh doanh,NV00183,Vi Mai,1991-06-07,Nu,17707055,34,20363113,Tăng lương 15%,Nhan vien
Nhan su,NV00184,Ba Anh Duong,1967-07-29,Nam,23021101,57,26474266,Tăng lương 15%,Nhan vien
Ke toan,NV00185,Hoang The Duong,1986-01-29,Nam,14786561,39,17004545,Tăng lương 15%,Nhan vien
Kinh doanh,NV00186,Ba Kim Nguyen,1993-07-10,Nam,8465501,31,9735326,Tăng lương 15%,Nhan vien
Ky thuat,NV00187,Lan Duong,1998-10-30,Nam,20193473,26,20193473,Không tăng lương,Nhan vien
Ky thuat,NV00188,Nhat Tri Dang,1982-03-28,Nam,12541143,43,14422314,Tăng lương 15%,Nhan vien
Ky thuat,NV00189,Ha Tran,1988-03-04,Nu,21756731,37,25020241,Tăng lương 15%,Nhan vien
Ke toan,NV00190,Khoa Mai Bao Dang,1969-07-01,Nu,28077955,55,32289648,Tăng lương 15%,Nhan vien
Ke toan,NV00191,Anh Tran,1969-02-04,Nu,10944442,56,12586108,Tăng lương 15%,Nhan vien
Ky thuat,NV00192,Anh Le,1984-02-22,Nam,10757355,41,12370958,Tăng lương 15%,Nhan vien
Kinh doanh,NV00193,Thanh Hai Duong,1985-01-10,Nu,10981228,40,12628412,Tăng lương 15%,Nhan vien
Ky thuat,NV00194,Yen Dang,1991-09-29,Nam,7830042,33,9004548,Tăng lương 15%,Nhan vien
Nhan su,NV00195,Chau Vu,1993-02-26,Nam,21178148,32,24354870,Tăng lương 15%,Nhan vien
Marketing,NV00196,Ong Dung Duong,1970-11-26,Nu,6803044,54,7823501,Tăng lương 15%,Nhan vien
Ke toan,NV00197,Tu Mai,1966-09-12,Nam,12187963,58,14016157,Tăng lương 15%,Nhan vien
Nhan su,NV00198,Minh Duc Pham,1970-07-12,Nu,29778781,54,34245598,Tăng lương 15%,Quan ly
Ke toan,NV00199,Chi Huong Mai,1992-07-19,Nu,29189495,32,33567919,Tăng lương 15%,Nhan vien
Marketing,NV00200,Chi Bao Mai,1970-07-03,Nam,15054288,54,17312431,Tăng lương 15%,Nhan vien
Ky thuat,NV00201,Anh Vu,1986-03-09,Nam,20669434,39,23769849,Tăng lương 15%,Nhan vien
Ky thuat,NV00202,Huy Vu,1988-07-18,Nam,14008151,36,16109374,Tăng lương 15%,Nhan vien
Marketing,NV00203,Thao Dang,1987-01-04,Nam,14903664,38,17139214,Tăng lương 15%,Nhan vien
Kinh doanh,NV00204,Hoang Le,1996-12-03,Nu,8847993,28,8847993,Không tăng lương,Nhan vien
Ke toan,NV00205,Bao Duong,1976-12-19,Nam,15935949,48,18326341,Tăng lương 15%,Nhan vien
Kinh doanh,NV00206,Ong Nhien Hoang,1977-10-18,Nam,26889150,47,30922522,Tăng lương 15%,Nhan vien
Nhan su,NV00207,Bao Vu,1979-08-27,Nam,28499586,45,32774524,Tăng lương 15%,Nhan vien
Ke toan,NV00208,Vu Le,1971-12-01,Nam,29008381,53,33359638,Tăng lương 15%,Nhan vien
Kinh doanh,NV00209,Hoang Van Bui,1976-09-21,Nam,12040123,48,13846141,Tăng lương 15%,Nhan vien
Kinh doanh,NV00210,Lam Mai,1989-02-23,Nu,20947184,36,24089262,Tăng lương 15%,Nhan vien
Nhan su,NV00211,Duyen Pham,1977-08-18,Nu,7265375,47,8355181,Tăng lương 15%,Nhan vien
Kinh doanh,NV00212,Khoa Dang,1988-07-30,Nu,20112003,36,23128803,Tăng lương 15%,Nhan vien
Ky thuat,NV00213,Chi Hong Hoang,1975-05-11,Nam,28351127,50,32603796,Tăng lương 15%,Nhan vien
Nhan su,NV00214,Mai Hoang,1997-10-27,Nu,28884242,27,28884242,Không tăng lương,Nhan vien
Kinh doanh,NV00215,Co Linh Vu,1970-10-08,Nam,27382911,54,31490348,Tăng lương 15%,Nhan vien
Marketing,NV00216,Minh Duong,1975-05-14,Nu,7588186,50,8726414,Tăng lương 15%,Nhan vien
Marketing,NV00217,Hanh Pham,1981-07-19,Nam,5850997,43,6728647,Tăng lương 15%,Nhan vien
Marketing,NV00218,Hoang Vu,1973-03-06,Nam,25165462,52,28940281,Tăng lương 15%,Nhan vien
Ky thuat,NV00219,Co Hong Hoang,1970-04-05,Nu,27966274,55,32161215,Tăng lương 15%,Nhan vien
Ke toan,NV00220,Quy co An Bui,1966-11-05,Nu,20194260,58,23223399,Tăng lương 15%,Nhan vien
Ke toan,NV00221,Chi Yen Nguyen,1979-11-22,Nu,27140280,45,31211322,Tăng lương 15%,Nhan vien
Marketing,NV00222,Ngoc Bui,1981-01-18,Nu,24565198,44,28249978,Tăng lương 15%,Nhan vien
Marketing,NV00223,Ba Lam Vu,1994-09-11,Nam,22903378,30,22903378,Không tăng lương,Nhan vien
Kinh doanh,NV00224,Phuong Hai Hoang,1984-12-24,Nu,6448827,40,7416151,Tăng lương 15%,Nhan vien
Kinh doanh,NV00225,Tung Hoang Le,1983-01-24,Nam,13075230,42,15036514,Tăng lương 15%,Nhan vien
Ky thuat,NV00226,Ha Quang Hoang,1993-03-27,Nam,28685791,32,32988660,Tăng lương 15%,Nhan vien
Kinh doanh,NV00227,Hanh Hoang,1965-12-06,Nam,9469592,59,10890031,Tăng lương 15%,Nhan vien
Marketing,NV00228,Co Nhat Duong,1974-08-30,Nu,23768743,50,27334054,Tăng lương 15%,Nhan vien
Marketing,NV00229,Lan Bui,1984-07-16,Nam,6269380,40,7209787,Tăng lương 15%,Nhan vien
Marketing,NV00230,Khoa Nguyen,2001-01-11,Nu,17193893,24,17193893,Không tăng lương,Nhan vien
Kinh doanh,NV00231,Ba Anh Le,1965-01-31,Nu,6347656,60,7299804,Tăng lương 15%,Nhan vien
Kinh doanh,NV00232,An Huu Vu,1973-01-29,Nu,28365591,52,32620430,Tăng lương 15%,Nhan vien
Kinh doanh,NV00233,Khoa Nguyen,1989-05-19,Nam,21904573,36,25190259,Tăng lương 15%,Nhan vien
Marketing,NV00234,Trung Duc Mai,1969-11-19,Nu,15705921,55,18061809,Tăng lương 15%,Nhan vien
Ky thuat,NV00235,Ha Dang,1988-11-05,Nu,5431721,36,6246479,Tăng lương 15%,Nhan vien
Nhan su,NV00236,Minh Duong,1986-10-23,Nu,8796846,38,10116373,Tăng lương 15%,Nhan vien
Marketing,NV00237,Co An Vu,2001-01-09,Nam,17603441,24,17603441,Không tăng lương,Nhan vien
Ke toan,NV00238,Ha Mai,1975-07-11,Nam,15452279,49,17770121,Tăng lương 15%,Nhan vien
